# Midplane coils (n = 3 configuration)
       6       0
      0.34803504E+02      0.17260615E+03      0.48260000E+02
      0.33084660E+02      0.17294384E+03      0.48260000E+02
      0.31362540E+02      0.17326441E+03      0.48260000E+02
      0.29637317E+02      0.17356784E+03      0.48260000E+02
      0.27909161E+02      0.17385409E+03      0.48260000E+02
      0.26178242E+02      0.17412313E+03      0.48260000E+02
      0.24444733E+02      0.17437494E+03      0.48260000E+02
      0.22708804E+02      0.17460950E+03      0.48260000E+02
      0.20970628E+02      0.17482677E+03      0.48260000E+02
      0.19230376E+02      0.17502674E+03      0.48260000E+02
      0.17488222E+02      0.17520938E+03      0.48260000E+02
      0.15744336E+02      0.17537469E+03      0.48260000E+02
      0.13998892E+02      0.17552264E+03      0.48260000E+02
      0.12252063E+02      0.17565322E+03      0.48260000E+02
      0.10504021E+02      0.17576641E+03      0.48260000E+02
      0.87549395E+01      0.17586221E+03      0.48260000E+02
      0.70049916E+01      0.17594061E+03      0.48260000E+02
      0.52543504E+01      0.17600159E+03      0.48260000E+02
      0.35031892E+01      0.17604515E+03      0.48260000E+02
      0.17516813E+01      0.17607129E+03      0.48260000E+02
      0.10781790E-13      0.17608000E+03      0.48260000E+02
     -0.17516813E+01      0.17607129E+03      0.48260000E+02
     -0.35031892E+01      0.17604515E+03      0.48260000E+02
     -0.52543504E+01      0.17600159E+03      0.48260000E+02
     -0.70049916E+01      0.17594061E+03      0.48260000E+02
     -0.87549395E+01      0.17586221E+03      0.48260000E+02
     -0.10504021E+02      0.17576641E+03      0.48260000E+02
     -0.12252063E+02      0.17565322E+03      0.48260000E+02
     -0.13998892E+02      0.17552264E+03      0.48260000E+02
     -0.15744336E+02      0.17537469E+03      0.48260000E+02
     -0.17488222E+02      0.17520938E+03      0.48260000E+02
     -0.19230376E+02      0.17502674E+03      0.48260000E+02
     -0.20970628E+02      0.17482677E+03      0.48260000E+02
     -0.22708804E+02      0.17460950E+03      0.48260000E+02
     -0.24444733E+02      0.17437494E+03      0.48260000E+02
